"Munic�pio";"Popula��o_residente"
"150670 SANTANA DO ARAGUAIA";74419
"150680 SANTAREM";306480
"150690 SANTAREM NOVO";6753
"150700 SANTO ANTONIO DO TAUA";31918
"150710 SAO CAETANO DE ODIVELAS";18129
"150715 SAO DOMINGOS DO ARAGUAIA";25753
"150720 SAO DOMINGOS DO CAPIM";32139
"150730 SAO FELIX DO XINGU";132138
"150740 SAO FRANCISCO DO PARA";15930
"150745 SAO GERALDO DO ARAGUAIA";24705
"150746 SAO JOAO DA PONTA";6217
"150747 SAO JOAO DE PIRABAS";23244
"150750 SAO JOAO DO ARAGUAIA";14051
"150760 SAO MIGUEL DO GUAMA";59632
"150770 SAO SEBASTIAO DA BOA VISTA";26974
"150775 SAPUCAIA";6009
"150780 SENADOR JOSE PORFIRIO";11480
"150790 SOURE";25565
"150795 TAILANDIA";108969
"150796 TERRA ALTA";11847
"150797 TERRA SANTA";18917
"150800 TOME-ACU";64030
"150803 TRACUATEUA";31257
"150805 TRAIRAO";19168
"150808 TUCUMA";40136
"150810 TUCURUI";115144
"150812 ULIANOPOLIS";60761
"150815 URUARA";45435
"150820 VIGIA";54172
"150830 VISEU";61751
"150835 VITORIA DO XINGU";15279
"150840 XINGUARA";45086
"160005 SERRA DO NAVIO";5488
"160010 AMAPA";9187
"160015 PEDRA BRANCA DO AMAPARI";17067
"160020 CALCOENE";11306
"160021 CUTIAS";6101
"160023 FERREIRA GOMES";7967
"160025 ITAUBAL";5617
"160027 LARANJAL DO JARI";51362
"160030 MACAPA";512902
"160040 MAZAGAO";22053
"160050 OIAPOQUE";27906
"160053 PORTO GRANDE";22452
"160055 PRACUUBA";5246
"160060 SANTANA";123096
"160070 TARTARUGALZINHO";17769
"160080 VITORIA DO JARI";16254
"170025 ABREULANDIA";2594
"170030 AGUIARNOPOLIS";6892
"170035 ALIANCA DO TOCANTINS";5346
"170040 ALMAS";6979
"170070 ALVORADA";8396
"170100 ANANAS";9492
"170105 ANGICO";3454
"170110 APARECIDA DO RIO NEGRO";4848
"170130 ARAGOMINAS";5731
"170190 ARAGUACEMA";7155
"170200 ARAGUACU";8467
"170210 ARAGUAINA";183381
"170215 ARAGUANA";5793
"170220 ARAGUATINS";36170
"170230 ARAPOEMA";6616
"170240 ARRAIAS";10534
"170255 AUGUSTINOPOLIS";18643
"170270 AURORA DO TOCANTINS";3783
"170290 AXIXA DO TOCANTINS";9787
"170300 BABACULANDIA";10666
"170305 BANDEIRANTES DO TOCANTINS";3592
"170307 BARRA DO OURO";4632
"170310 BARROLANDIA";5651
"170320 BERNARDO SAYAO";4448
"170330 BOM JESUS DO TOCANTINS";5008
"170360 BRASILANDIA DO TOCANTINS";2211
"170370 BREJINHO DE NAZARE";5519
"170380 BURITI DO TOCANTINS";11497
"170382 CACHOEIRINHA";2284
"170384 CAMPOS LINDOS";10312
"170386 CARIRI DO TOCANTINS";4441
"170388 CARMOLANDIA";2603
"170389 CARRASCO BONITO";4130
"170390 CASEARA";5442
"170410 CENTENARIO";2936
"170460 CHAPADA DE AREIA";1410
"170510 CHAPADA DA NATIVIDADE";3331
"170550 COLINAS DO TOCANTINS";35851
"170555 COMBINADO";4861
"170560 CONCEICAO DO TOCANTINS";4087
"170600 COUTO MAGALHAES";5639
"170610 CRISTALANDIA";7278
"170625 CRIXAS DO TOCANTINS";1735
"170650 DARCINOPOLIS";6174
"170700 DIANOPOLIS";22424
"170710 DIVINOPOLIS DO TOCANTINS";6943
"170720 DOIS IRMAOS DO TOCANTINS";7185
"170730 DUERE";4686
"170740 ESPERANTINA";11139
"170755 FATIMA";3830
"170765 FIGUEIROPOLIS";5243
"170770 FILADELFIA";8874
"170820 FORMOSO DO ARAGUAIA";18399
"170825 FORTALEZA DO TABOCAO";2602
"170830 GOIANORTE";5130
"170900 GOIATINS";13095
"170930 GUARAI";26165
"170950 GURUPI";87545
"170980 IPUEIRAS";2052
"171050 ITACAJA";7452
"171070 ITAGUATINS";5832
"171090 ITAPIRATINS";3795
"171110 ITAPORA DO TOCANTINS";2420
"171150 JAU DO TOCANTINS";3878
"171180 JUARINA";2184
"171190 LAGOA DA CONFUSAO";13676
"171195 LAGOA DO TOCANTINS";4393
"171200 LAJEADO";3167
"171215 LAVANDEIRA";1954
"171240 LIZARDA";3733
"171245 LUZINOPOLIS";3154
"171250 MARIANOPOLIS DO TOCANTINS";5254
"171270 MATEIROS";2729
"171280 MAURILANDIA DO TOCANTINS";3448
"171320 MIRACEMA DO TOCANTINS";17936
"171330 MIRANORTE";13493
"171360 MONTE DO CARMO";8066
"171370 MONTE SANTO DO TOCANTINS";2295
"171380 PALMEIRAS DO TOCANTINS";6745
"171395 MURICILANDIA";3587
"171420 NATIVIDADE";9250
"171430 NAZARE";3834
"171488 NOVA OLINDA";11917
"171500 NOVA ROSALANDIA";4304
"171510 NOVO ACORDO";4397
"171515 NOVO ALEGRE";2332
"171525 NOVO JARDIM";2745
"171550 OLIVEIRA DE FATIMA";1118
"171570 PALMEIRANTE";6131
"171575 PALMEIROPOLIS";7676
"171610 PARAISO DO TOCANTINS";51891
"171620 PARANA";10437
"171630 PAU D'ARCO";4867
"171650 PEDRO AFONSO";13773
"171660 PEIXE";11873
"171665 PEQUIZEIRO";5512
"171670 COLMEIA";8141
"171700 PINDORAMA DO TOCANTINS";4430
"171720 PIRAQUE";3033
"171750 PIUM";7743
"171780 PONTE ALTA DO BOM JESUS";4591
"171790 PONTE ALTA DO TOCANTINS";8116
"171800 PORTO ALEGRE DO TOCANTINS";3170
"171820 PORTO NACIONAL";53316
"171830 PRAIA NORTE";8498
"171840 PRESIDENTE KENNEDY";3676
"171845 PUGMIL";2717
"171850 RECURSOLANDIA";4342
"171855 RIACHINHO";4684
"171865 RIO DA CONCEICAO";2171
"171870 RIO DOS BOIS";2856
"171875 RIO SONO";6488
"171880 SAMPAIO";4794
"171884 SANDOLANDIA";3373
"171886 SANTA FE DO ARAGUAIA";7595
"171888 SANTA MARIA DO TOCANTINS";3486
"171889 SANTA RITA DO TOCANTINS";2386
"171890 SANTA ROSA DO TOCANTINS";4846
"171900 SANTA TEREZA DO TOCANTINS";2897
"172000 SANTA TEREZINHA DO TOCANTINS";2530
"172010 SAO BENTO DO TOCANTINS";5391
"172015 SAO FELIX DO TOCANTINS";1598
"172020 SAO MIGUEL DO TOCANTINS";12294
"172025 SAO SALVADOR DO TOCANTINS";3094
"172030 SAO SEBASTIAO DO TOCANTINS";4852
"172049 SAO VALERIO";3904
"172065 SILVANOPOLIS";5428
"172080 SITIO NOVO DO TOCANTINS";8997
"172085 SUCUPIRA";1986
"172090 TAGUATINGA";16825
"172093 TAIPAS DO TOCANTINS";2166
"172097 TALISMA";2812
"172100 PALMAS";306296
"172110 TOCANTINIA";7617
"172120 TOCANTINOPOLIS";22845
"172125 TUPIRAMA";1922
"172130 TUPIRATINS";2729
"172208 WANDERLANDIA";11734
"172210 XAMBIOA";11520
"210005 ACAILANDIA";113121
"210010 AFONSO CUNHA";6578
"210015 AGUA DOCE DO MARANHAO";12652
"210020 ALCANTARA";22112
"210030 ALDEIAS ALTAS";26757
"210040 ALTAMIRA DO MARANHAO";8189
"210043 ALTO ALEGRE DO MARANHAO";27858
"210047 ALTO ALEGRE DO PINDARE";31943
"210050 ALTO PARNAIBA";11212
"210055 AMAPA DO MARANHAO";7005
"210060 AMARANTE DO MARANHAO";41729
"210070 ANAJATUBA";26988
"210080 ANAPURUS";15894
"210083 APICUM-ACU";17413
"210087 ARAGUANA";15551
"210090 ARAIOSES";46771
"210095 ARAME";32764
"210100 ARARI";29932
"210110 AXIXA";12183
"210120 BACABAL";104790
"210125 BACABEIRA";17252
"210130 BACURI";18654
"210135 BACURITUBA";5670
"210140 BALSAS";95929
"210150 BARAO DE GRAJAU";18924
"210160 BARRA DO CORDA";88492
"210170 BARREIRINHAS";63217
"210173 BELAGUA";7528
"210177 BELA VISTA DO MARANHAO";11279
"210180 BENEDITO LEITE";5638
"210190 BEQUIMAO";21299
"210193 BERNARDO DO MEARIM";6073
"210197 BOA VISTA DO GURUPI";8382
"210200 BOM JARDIM";41822
"210203 BOM JESUS DAS SELVAS";34567
"210207 BOM LUGAR";16438
"210210 BREJO";36651
"210215 BREJO DE AREIA";9014
"210220 BURITI";28798
"210230 BURITI BRAVO";23939
"210232 BURITICUPU";72983
"210235 BURITIRANA";15467
"210237 CACHOEIRA GRANDE";9478
"210240 CAJAPIO";11216
"210250 CAJARI";19451
"210255 CAMPESTRE DO MARANHAO";14453
"210260 CANDIDO MENDES";20278
"210270 CANTANHEDE";22117
"210275 CAPINZAL DO NORTE";10935
"210280 CAROLINA";24165
"210290 CARUTAPERA";23952
"210300 CAXIAS";165525
"210310 CEDRAL";10693
"210312 CENTRAL DO MARANHAO";8740
"210315 CENTRO DO GUILHERME";13670
"210317 CENTRO NOVO DO MARANHAO";21840
"210320 CHAPADINHA";80195
"210325 CIDELANDIA";14777
"210330 CODO";123116
"210340 COELHO NETO";49621
"210350 COLINAS";41312
"210355 CONCEICAO DO LAGO-ACU";16400
"210360 COROATA";65544
"210370 CURURUPU";32626
"210375 DAVINOPOLIS";12916
"210380 DOM PEDRO";23372
"210390 DUQUE BACELAR";11401
"210400 ESPERANTINOPOLIS";17104
"210405 ESTREITO";42527
"210407 FEIRA NOVA DO MARANHAO";8484
"210408 FERNANDO FALCAO";10460
"210409 FORMOSA DA SERRA NEGRA";19258
"210410 FORTALEZA DOS NOGUEIRAS";12647
"210420 FORTUNA";17790
"210430 GODOFREDO VIANA";11963
"210440 GONCALVES DIAS";17944
"210450 GOVERNADOR ARCHER";10886
"210455 GOVERNADOR EDISON LOBAO";18520
"210460 GOVERNADOR EUGENIO BARROS";14656
"210462 GOVERNADOR LUIZ ROCHA";7844
"210465 GOVERNADOR NEWTON BELLO";10151
"210467 GOVERNADOR NUNES FREIRE";25539
"210470 GRACA ARANHA";6261
"210480 GRAJAU";70065
"210490 GUIMARAES";11997
"210500 HUMBERTO DE CAMPOS";28932
"210510 ICATU";27269
"210515 IGARAPE DO MEIO";14324
"210520 IGARAPE GRANDE";11387
"210530 IMPERATRIZ";259337
"210535 ITAIPAVA DO GRAJAU";16005
"210540 ITAPECURU MIRIM";68723
"210542 ITINGA DO MARANHAO";26068
"210545 JATOBA";10310
"210547 JENIPAPO DOS VIEIRAS";17040
"210550 JOAO LISBOA";23740
"210560 JOSELANDIA";16198
"210565 JUNCO DO MARANHAO";4392
"210570 LAGO DA PEDRA";50616
"210580 LAGO DO JUNCO";10869
"210590 LAGO VERDE";16314
"210592 LAGOA DO MATO";11265
"210594 LAGO DOS RODRIGUES";8857
"210596 LAGOA GRANDE DO MARANHAO";11464
"210598 LAJEADO NOVO";7602
"210600 LIMA CAMPOS";11918
"210610 LORETO";12214
"210620 LUIS DOMINGUES";6984
"210630 MAGALHAES DE ALMEIDA";20029
"210632 MARACACUME";21586
"210635 MARAJA DO SENA";7775
"210637 MARANHAOZINHO";16511
"210640 MATA ROMA";16977
"210650 MATINHA";23482
"210660 MATOES";33943
"210663 MATOES DO NORTE";17033
"210667 MILAGRES DO MARANHAO";8483
"210670 MIRADOR";21031
"210675 MIRANDA DO NORTE";28754
"210680 MIRINZAL";15011
"210690 MONCAO";33664
"210700 MONTES ALTOS";9111
"210710 MORROS";19572
"210720 NINA RODRIGUES";14642
"210725 NOVA COLINAS";5427
"210730 NOVA IORQUE";4682
"210735 NOVA OLINDA DO MARANHAO";21080
"210740 OLHO D'AGUA DAS CUNHAS";19561
"210745 OLINDA NOVA DO MARANHAO";14836
"210750 PACO DO LUMIAR";123747
"210760 PALMEIRANDIA";19781
"210770 PARAIBANO";21479
"210780 PARNARAMA";35008
"210790 PASSAGEM FRANCA";19137
"210800 PASTOS BONS";19583
"210805 PAULINO NEVES";16166
"210810 PAULO RAMOS";21066
"210820 PEDREIRAS";39191
"210825 PEDRO DO ROSARIO";25354
"210830 PENALVA";38731
"210840 PERI MIRIM";14345
"210845 PERITORO";23364
"210850 PINDARE-MIRIM";33065
"210860 PINHEIRO";83777
"210870 PIO XII";21379
"210880 PIRAPEMAS";18720
"210890 POCAO DE PEDRAS";17595
"210900 PORTO FRANCO";24092
"210905 PORTO RICO DO MARANHAO";5955
"210910 PRESIDENTE DUTRA";48036
"210920 PRESIDENTE JUSCELINO";12838
"210923 PRESIDENTE MEDICI";7070
"210927 PRESIDENTE SARNEY";19069
"210930 PRESIDENTE VARGAS";11261
"210940 PRIMEIRA CRUZ";15431
"210945 RAPOSA";31177
"210950 RIACHAO";20334
"210955 RIBAMAR FIQUENE";7825
"210960 ROSARIO";42994
"210970 SAMBAIBA";5679
"210975 SANTA FILOMENA DO MARANHAO";7826
"210980 SANTA HELENA";42483
"210990 SANTA INES";89489
"211000 SANTA LUZIA";72887
"211003 SANTA LUZIA DO PARUA";25371
"211010 SANTA QUITERIA DO MARANHAO";25764
"211020 SANTA RITA";38298
"211023 SANTANA DO MARANHAO";13547
"211027 SANTO AMARO DO MARANHAO";16034
"211030 SANTO ANTONIO DOS LOPES";14522
"211040 SAO BENEDITO DO RIO PRETO";18717
"211050 SAO BENTO";45604
"211060 SAO BERNARDO";28667
"211065 SAO DOMINGOS DO AZEITAO";7420
"211070 SAO DOMINGOS DO MARANHAO";34384
"211080 SAO FELIX DE BALSAS";4562
"211085 SAO FRANCISCO DO BREJAO";11941
"211090 SAO FRANCISCO DO MARANHAO";12218
"211100 SAO JOAO BATISTA";20701
"211102 SAO JOAO DO CARU";15787
"211105 SAO JOAO DO PARAISO";11193
"211107 SAO JOAO DO SOTER";18645
"211110 SAO JOAO DOS PATOS";25996
"211120 SAO JOSE DE RIBAMAR";179028
"211125 SAO JOSE DOS BASILIOS";7640
"211130 SAO LUIS";1108975
"211140 SAO LUIS GONZAGA DO MARANHAO";18727
"211150 SAO MATEUS DO MARANHAO";41579
"211153 SAO PEDRO DA AGUA BRANCA";12735
"211157 SAO PEDRO DOS CRENTES";4684
"211160 SAO RAIMUNDO DAS MANGABEIRAS";18980
"211163 SAO RAIMUNDO DO DOCA BEZERRA";5131
"211167 SAO ROBERTO";6789
"211170 SAO VICENTE FERRER";22350
"211172 SATUBINHA";14096
"211174 SENADOR ALEXANDRE COSTA";11214
"211176 SENADOR LA ROCQUE";14050
"211178 SERRANO DO MARANHAO";10299
"211180 SITIO NOVO";18160
"211190 SUCUPIRA DO NORTE";10634
"211195 SUCUPIRA DO RIACHAO";5676
"211200 TASSO FRAGOSO";8582
"211210 TIMBIRAS";29183
"211220 TIMON";170222
"211223 TRIZIDELA DO VALE";22112
"211227 TUFILANDIA";5854
"211230 TUNTUM";42040
"211240 TURIACU";35709
"211245 TURILANDIA";25868
"211250 TUTOIA";59398
"211260 URBANO SANTOS";33459
"211270 VARGEM GRANDE";57168
"211280 VIANA";52649
"211285 VILA NOVA DOS MARTIRIOS";13598
"211290 VITORIA DO MEARIM";32861
"211300 VITORINO FREIRE";31522
"211400 ZE DOCA";51956
"220005 ACAUA";7102
"220010 AGRICOLANDIA";5131
"220020 AGUA BRANCA";17470
"220025 ALAGOINHA DO PIAUI";7665
"220027 ALEGRETE DO PIAUI";4918
"220030 ALTO LONGA";14339
"220040 ALTOS";40605
"220045 ALVORADA DO GURGUEIA";5445
"220050 AMARANTE";17604
"220060 ANGICAL DO PIAUI";6783
"220070 ANISIO DE ABREU";9938
"220080 ANTONIO ALMEIDA";3170
"220090 AROAZES";5827
"220095 AROEIRAS DO ITAIM";2551
"220100 ARRAIAL";4720
"220105 ASSUNCAO DO PIAUI";7863
"220110 AVELINO LOPES";11326
"220115 BAIXA GRANDE DO RIBEIRO";11671
"220117 BARRA D'ALCANTARA";3952
"220120 BARRAS";47185
"220130 BARREIRAS DO PIAUI";3352
"220140 BARRO DURO";7027
"220150 BATALHA";26905
"220155 BELA VISTA DO PIAUI";4030
"220157 BELEM DO PIAUI";3587
"220160 BENEDITINOS";10473
"220170 BERTOLINIA";5507
"220173 BETANIA DO PIAUI";6210
"220177 BOA HORA";6815
"220180 BOCAINA";4505
"220190 BOM JESUS";25387
"220191 BOM PRINCIPIO DO PIAUI";5651
"220192 BONFIM DO PIAUI";5685
"220194 BOQUEIRAO DO PIAUI";6426
"220196 BRASILEIRA";8347
"220198 BREJO DO PIAUI";3848
"220200 BURITI DOS LOPES";19807
"220202 BURITI DOS MONTES";8264
"220205 CABECEIRAS DO PIAUI";10630
"220207 CAJAZEIRAS DO PIAUI";3573
"220208 CAJUEIRO DA PRAIA";7674
"220209 CALDEIRAO GRANDE DO PIAUI";5781
"220210 CAMPINAS DO PIAUI";5620
"220211 CAMPO ALEGRE DO FIDALGO";5069
"220213 CAMPO GRANDE DO PIAUI";5965
"220217 CAMPO LARGO DO PIAUI";7311
"220220 CAMPO MAIOR";46893
"220225 CANAVIEIRA";3944
"220230 CANTO DO BURITI";21258
"220240 CAPITAO DE CAMPOS";11445
"220245 CAPITAO GERVASIO OLIVEIRA";4114
"220250 CARACOL";10964
"220253 CARAUBAS DO PIAUI";5890
"220255 CARIDADE DO PIAUI";5085
"220260 CASTELO DO PIAUI";19715
"220265 CAXINGO";5451
"220270 COCAL";27845
"220271 COCAL DE TELHA";4899
"220272 COCAL DOS ALVES";6168
"220273 COIVARAS";4032
"220275 COLONIA DO GURGUEIA";6516
"220277 COLONIA DO PIAUI";7661
"220280 CONCEICAO DO CANINDE";4807
"220285 CORONEL JOSE DIAS";4685
"220290 CORRENTE";26709
"220300 CRISTALANDIA DO PIAUI";8323
"220310 CRISTINO CASTRO";10444
"220320 CURIMATA";11426
"220323 CURRAIS";4968
"220325 CURRALINHOS";4459
"220327 CURRAL NOVO DO PIAUI";5367
"220330 DEMERVAL LOBAO";13840
"220335 DIRCEU ARCOVERDE";7029
"220340 DOM EXPEDITO LOPES";6922
"220342 DOMINGOS MOURAO";4354
"220345 DOM INOCENCIO";9565
"220350 ELESBAO VELOSO";14575
"220360 ELISEU MARTINS";4930
"220370 ESPERANTINA";39848
"220375 FARTURA DO PIAUI";5319
"220380 FLORES DO PIAUI";4462
"220385 FLORESTA DO PIAUI";2560
"220390 FLORIANO";60025
"220400 FRANCINOPOLIS";5347
"220410 FRANCISCO AYRES";4323
"220415 FRANCISCO MACEDO";3200
"220420 FRANCISCO SANTOS";9372
"220430 FRONTEIRAS";11659
"220435 GEMINIANO";5460
"220440 GILBUES";10694
"220450 GUADALUPE";10497
"220455 GUARIBAS";4568
"220460 HUGO NAPOLEAO";3879
"220465 ILHA GRANDE";9457
"220470 INHUMA";15319
"220480 IPIRANGA DO PIAUI";9838
"220490 ISAIAS COELHO";8566
"220500 ITAINOPOLIS";11551
"220510 ITAUEIRA";11028
"220515 JACOBINA DO PIAUI";5729
"220520 JAICOS";19170
"220525 JARDIM DO MULATO";4513
"220527 JATOBA DO PIAUI";4875
"220530 JERUMENHA";4447
"220535 JOAO COSTA";3005
